sample_index,sequence_id,category,parameter_group,left,right,cosine
0,phase8_train_0003,visible_high_risk,all,smooth,dynamic_weighted,-0.3836607336997986
0,phase8_train_0003,visible_high_risk,all,smooth,score,-0.017956353724002838
0,phase8_train_0003,visible_high_risk,all,smooth,total,0.641907274723053
0,phase8_train_0003,visible_high_risk,all,static,guidance,0.14356167614459991
0,phase8_train_0003,visible_high_risk,all,static,dynamic_raw,-0.5083502531051636
0,phase8_train_0003,visible_high_risk,all,static,dynamic_weighted,-0.5083158612251282
0,phase8_train_0003,visible_high_risk,all,static,score,0.04653624817728996
0,phase8_train_0003,visible_high_risk,all,static,total,0.7848889827728271
0,phase8_train_0003,visible_high_risk,all,guidance,dynamic_raw,-0.0645398199558258
0,phase8_train_0003,visible_high_risk,all,guidance,dynamic_weighted,-0.06458239257335663
0,phase8_train_0003,visible_high_risk,all,guidance,score,0.05623527243733406
0,phase8_train_0003,visible_high_risk,all,guidance,total,0.4390481114387512
0,phase8_train_0003,visible_high_risk,all,dynamic_raw,dynamic_weighted,0.9999999403953552
0,phase8_train_0003,visible_high_risk,all,dynamic_raw,score,-0.04056166112422943
0,phase8_train_0003,visible_high_risk,all,dynamic_raw,total,-0.3894259035587311
0,phase8_train_0003,visible_high_risk,all,dynamic_weighted,score,-0.04056837782263756
0,phase8_train_0003,visible_high_risk,all,dynamic_weighted,total,-0.3894176185131073
0,phase8_train_0003,visible_high_risk,all,score,total,0.570636510848999
1,phase8_train_0006,temporally_separated,late_mobile,smooth,static,0.2925055921077728
1,phase8_train_0006,temporally_separated,late_mobile,smooth,guidance,-0.3994724154472351
1,phase8_train_0006,temporally_separated,late_mobile,smooth,dynamic_raw,-0.18958249688148499
1,phase8_train_0006,temporally_separated,late_mobile,smooth,dynamic_weighted,-0.1895800083875656
1,phase8_train_0006,temporally_separated,late_mobile,smooth,score,-0.22125133872032166
1,phase8_train_0006,temporally_separated,late_mobile,smooth,total,0.004877583589404821
1,phase8_train_0006,temporally_separated,late_mobile,static,guidance,-0.0002499523398000747
1,phase8_train_0006,temporally_separated,late_mobile,static,dynamic_raw,-0.08020800352096558
1,phase8_train_0006,temporally_separated,late_mobile,static,dynamic_weighted,-0.08018137514591217
1,phase8_train_0006,temporally_separated,late_mobile,static,score,0.10578163713216782
1,phase8_train_0006,temporally_separated,late_mobile,static,total,0.7279129028320312
1,phase8_train_0006,temporally_separated,late_mobile,guidance,dynamic_raw,0.06266069412231445
1,phase8_train_0006,temporally_separated,late_mobile,guidance,dynamic_weighted,0.06269265711307526
1,phase8_train_0006,temporally_separated,late_mobile,guidance,score,0.31356194615364075
1,phase8_train_0006,temporally_separated,late_mobile,guidance,total,0.49722522497177124
1,phase8_train_0006,temporally_separated,late_mobile,dynamic_raw,dynamic_weighted,0.9999998211860657
1,phase8_train_0006,temporally_separated,late_mobile,dynamic_raw,score,-0.06406256556510925
1,phase8_train_0006,temporally_separated,late_mobile,dynamic_raw,total,-0.0556781105697155
1,phase8_train_0006,temporally_separated,late_mobile,dynamic_weighted,score,-0.06402643024921417
1,phase8_train_0006,temporally_separated,late_mobile,dynamic_weighted,total,-0.055630411952733994
1,phase8_train_0006,temporally_separated,late_mobile,score,total,0.6740108728408813
1,phase8_train_0006,temporally_separated,output_1x1,smooth,static,0.33332839608192444
