sample_index,sequence_id,frame_index,category,component,parameter_group,gradient_norm,max_abs_gradient,finite,component_total_norm_ratio
2,phase8_train_0006,13,temporally_separated,score,late_mobile,6.051304340362549,0.340697705745697,True,0.25996109137524803
2,phase8_train_0006,13,temporally_separated,score,output_1x1,4.416550636291504,0.14725619554519653,True,0.1897328673202376
2,phase8_train_0006,13,temporally_separated,score,trajectory_output_branch,0.0,0.0,True,0.0
2,phase8_train_0006,13,temporally_separated,score,score_output_branch,1.055704951286316,0.2086326628923416,True,0.04535257125907523
2,phase8_train_0006,13,temporally_separated,score,shared_head_trunk,6.2303972244262695,0.4883652627468109,True,0.26765483457176953
2,phase8_train_0006,13,temporally_separated,score,all,9.8008451461792,0.4883652627468109,True,0.42103954078235956
2,phase8_train_0006,13,temporally_separated,total,late_mobile,13.60384464263916,0.77091383934021,True,0.5844145495395656
2,phase8_train_0006,13,temporally_separated,total,output_1x1,8.203489303588867,0.30380338430404663,True,0.3524179106678952
2,phase8_train_0006,13,temporally_separated,total,trajectory_output_branch,11.521844863891602,2.250943660736084,True,0.4949728516371571
2,phase8_train_0006,13,temporally_separated,total,score_output_branch,1.055704951286316,0.2086326628923416,True,0.04535257125907523
2,phase8_train_0006,13,temporally_separated,total,shared_head_trunk,12.4749174118042,0.8360663056373596,True,0.5359163847631581
2,phase8_train_0006,13,temporally_separated,total,all,23.27773094177246,2.250943660736084,True,1.0
3,phase8_train_0005,8,visible_low_risk,smooth,late_mobile,0.7314071655273438,0.02898765541613102,True,0.04504911232920292
3,phase8_train_0005,8,visible_low_risk,smooth,output_1x1,0.5781537890434265,0.021097805351018906,True,0.035609871236895754
3,phase8_train_0005,8,visible_low_risk,smooth,trajectory_output_branch,1.2922676801681519,0.2508338391780853,True,0.07959384953703622
3,phase8_train_0005,8,visible_low_risk,smooth,score_output_branch,0.0,0.0,True,0.0
3,phase8_train_0005,8,visible_low_risk,smooth,shared_head_trunk,0.8459511995315552,0.04852218180894852,True,0.05210415266473932
3,phase8_train_0005,8,visible_low_risk,smooth,all,1.8041083812713623,0.2508338391780853,True,0.11111933947673586
3,phase8_train_0005,8,visible_low_risk,static,late_mobile,6.419504642486572,0.314983993768692,True,0.39539260670041343
3,phase8_train_0005,8,visible_low_risk,static,output_1x1,4.412692070007324,0.13050124049186707,True,0.2717882324718778
3,phase8_train_0005,8,visible_low_risk,static,trajectory_output_branch,9.08668327331543,1.954568862915039,True,0.5596705019759238
3,phase8_train_0005,8,visible_low_risk,static,score_output_branch,0.0,0.0,True,0.0
3,phase8_train_0005,8,visible_low_risk,static,shared_head_trunk,5.599814414978027,0.29586371779441833,True,0.34490592995647085
3,phase8_train_0005,8,visible_low_risk,static,all,13.21391773223877,1.954568862915039,True,0.8138767191312349
3,phase8_train_0005,8,visible_low_risk,guidance,late_mobile,3.2636027336120605,0.21893103420734406,True,0.20101307872528215
3,phase8_train_0005,8,visible_low_risk,guidance,output_1x1,2.122065544128418,0.06755069643259048,True,0.13070307972502124
3,phase8_train_0005,8,visible_low_risk,guidance,trajectory_output_branch,1.3244056701660156,0.3092150092124939,True,0.08157330501639937
3,phase8_train_0005,8,visible_low_risk,guidance,score_output_branch,0.0,0.0,True,0.0
3,phase8_train_0005,8,visible_low_risk,guidance,shared_head_trunk,2.3850009441375732,0.13070744276046753,True,0.14689789832759276
3,phase8_train_0005,8,visible_low_risk,guidance,all,4.75358247756958,0.3092150092124939,True,0.29278448597610424
3,phase8_train_0005,8,visible_low_risk,dynamic_raw,late_mobile,0.8546289801597595,0.05088631808757782,True,0.052638637877235564
3,phase8_train_0005,8,visible_low_risk,dynamic_raw,output_1x1,0.6560577750205994,0.018810678273439407,True,0.040408163597961094
3,phase8_train_0005,8,visible_low_risk,dynamic_raw,trajectory_output_branch,1.2472295761108398,0.2685859203338623,True,0.07681984525542745
3,phase8_train_0005,8,visible_low_risk,dynamic_raw,score_output_branch,0.0,0.0,True,0.0
3,phase8_train_0005,8,visible_low_risk,dynamic_raw,shared_head_trunk,0.8267001509666443,0.07142448425292969,True,0.05091843465412846
3,phase8_train_0005,8,visible_low_risk,dynamic_raw,all,1.843859314918518,0.2685859203338623,True,0.11356769431855682
3,phase8_train_0005,8,visible_low_risk,dynamic_weighted,late_mobile,0.08544318377971649,0.0050859772600233555,True,0.005262649540877757
3,phase8_train_0005,8,visible_low_risk,dynamic_weighted,output_1x1,0.06559207290410995,0.0018808284075930715,True,0.0040399722609116935
3,phase8_train_0005,8,visible_low_risk,dynamic_weighted,trajectory_output_branch,0.12472295016050339,0.026858586817979813,True,0.007681984066643712
3,phase8_train_0005,8,visible_low_risk,dynamic_weighted,score_output_branch,0.0,0.0,True,0.0
3,phase8_train_0005,8,visible_low_risk,dynamic_weighted,shared_head_trunk,0.08265655487775803,0.007141278591006994,True,0.005091014418416768
3,phase8_train_0005,8,visible_low_risk,dynamic_weighted,all,0.1843658834695816,0.026858586817979813,True,0.011355534626333128
3,phase8_train_0005,8,visible_low_risk,score,late_mobile,3.063526153564453,0.1130274087190628,True,0.18868988481384588
3,phase8_train_0005,8,visible_low_risk,score,output_1x1,2.916140079498291,0.08819155395030975,True,0.17961202487576391
3,phase8_train_0005,8,visible_low_risk,score,trajectory_output_branch,0.0,0.0,True,0.0
3,phase8_train_0005,8,visible_low_risk,score,score_output_branch,1.8721574544906616,0.4619418978691101,True,0.11531064424901562
3,phase8_train_0005,8,visible_low_risk,score,shared_head_trunk,5.231170177459717,0.44417229294776917,True,0.32220025184966417
3,phase8_train_0005,8,visible_low_risk,score,all,6.982777118682861,0.4619418978691101,True,0.4300859023749501
3,phase8_train_0005,8,visible_low_risk,total,late_mobile,7.748478889465332,0.35677623748779297,True,0.4772473012625025
3,phase8_train_0005,8,visible_low_risk,total,output_1x1,5.594973087310791,0.18368086218833923,True,0.3446077410349191
3,phase8_train_0005,8,visible_low_risk,total,trajectory_output_branch,9.95376205444336,2.190262794494629,True,0.6130759527977481
3,phase8_train_0005,8,visible_low_risk,total,score_output_branch,1.8721574544906616,0.4619418978691101,True,0.11531064424901562
3,phase8_train_0005,8,visible_low_risk,total,shared_head_trunk,8.347173690795898,0.5860987901687622,True,0.5141223424532798
3,phase8_train_0005,8,visible_low_risk,total,all,16.23577308654785,2.190262794494629,True,1.0
4,phase8_train_0005,3,visible_low_risk,smooth,late_mobile,1.0773736238479614,0.06791029870510101,True,0.05597644046507134
4,phase8_train_0005,3,visible_low_risk,smooth,output_1x1,0.7896525263786316,0.02973557449877262,True,0.04102749190485511
4,phase8_train_0005,3,visible_low_risk,smooth,trajectory_output_branch,1.4795780181884766,0.2377963364124298,True,0.07687352745164591
4,phase8_train_0005,3,visible_low_risk,smooth,score_output_branch,0.0,0.0,True,0.0
