sequence_id,frame_index,map_id,scenario,sample_category,candidate_id,predicted_score,dynamic_cost,static_cost,guidance_cost,minimum_distance,minimum_clearance,time_of_minimum_clearance,risk_rank,score_rank,selected_by_score
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,13,1.5657284259796143,0.16926433145999908,2.6186976432800293,0.9668851494789124,0.7679708003997803,-0.2206903100013733,0.6111111044883728,8,7,False
phase8_train_0003,12,1,head_on_cylinder,visible_high_risk,14,1.2644374370574951,0.08401953428983688,3.3879737854003906,0.7702482342720032,0.8895788192749023,-0.09908229112625122,0.6111111044883728,12,2,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,0,1.4888159036636353,0.2817389667034149,1.7955557107925415,1.0013617277145386,0.7011916637420654,-0.35004091262817383,0.7777777314186096,3,3,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,1,1.6784486770629883,0.3616999685764313,1.6375038623809814,1.157798409461975,0.6481025815010071,-0.4031299948692322,0.7777777314186096,2,6,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,2,2.2365899085998535,0.8903325796127319,1.276911735534668,1.1775745153427124,0.3946852684020996,-0.6565473079681396,0.7777777314186096,1,12,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,3,2.1392364501953125,1.2853116989135742,0.7759228944778442,1.1842732429504395,0.202061727643013,-0.8491708636283875,0.7777777314186096,0,11,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,4,1.8633902072906494,0.00018725433619692922,1.3690507411956787,0.6725860238075256,1.6190822124481201,0.6100713014602661,0.6666666269302368,13,9,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,5,1.374830722808838,0.025550780817866325,2.5702240467071533,0.9246395826339722,1.1034247875213623,0.05219221115112305,0.7777777314186096,6,2,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,6,1.701845645904541,0.007798734121024609,2.551011800765991,1.088304042816162,1.239400029182434,0.20950400829315186,0.7222222089767456,10,7,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,7,3.229811906814575,0.004771476611495018,2.6337389945983887,1.101469874382019,1.284334421157837,0.2544384002685547,0.7222222089767456,11,13,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,8,3.4305503368377686,0.012258236296474934,2.4716296195983887,1.1363739967346191,1.1665916442871094,0.13669562339782715,0.7222222089767456,8,14,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,9,1.723676323890686,3.4930675610667095e-05,2.4561259746551514,0.7780370712280273,1.7932053804397583,0.7841944694519043,0.6666666269302368,14,8,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,10,0.9622290134429932,0.02137063443660736,2.7526211738586426,0.8437069654464722,1.1249034404754639,0.07367086410522461,0.7777777314186096,7,1,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,11,0.9336122274398804,0.0634380429983139,2.56502103805542,0.9479461908340454,0.971123993396759,-0.08010858297348022,0.7777777314186096,5,0,True
phase8_train_0006,8,0,delayed_linear,temporally_separated,12,1.6137715578079224,0.10999581217765808,2.4493939876556396,0.9829149842262268,0.8821569681167603,-0.169075608253479,0.7777777314186096,4,5,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,13,2.004523754119873,0.00951563473790884,2.2153024673461914,0.9869828820228577,1.209057092666626,0.17916107177734375,0.7222222089767456,9,10,False
phase8_train_0006,8,0,delayed_linear,temporally_separated,14,1.5826420783996582,0.0002643627522047609,2.300510883331299,0.7052563428878784,1.604084849357605,0.5741888284683228,0.7222222089767456,12,4,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,0,1.4921948909759521,1.1597462892532349,1.6987115144729614,1.067456841468811,0.2691067159175873,-0.7821258306503296,0.7777777314186096,0,6,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,1,1.963956594467163,0.7155117392539978,1.8238812685012817,1.1748383045196533,0.48740333318710327,-0.563829243183136,0.7777777314186096,2,9,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,2,3.2283623218536377,1.0418193340301514,1.4280943870544434,1.170515537261963,0.3536653518676758,-0.6975672245025635,0.7777777314186096,1,13,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,3,1.9001256227493286,1.1068026651628315e-05,1.4465335607528687,0.8936969637870789,1.910141110420227,0.9168449640274048,0.6666666269302368,10,8,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,4,1.3893893957138062,4.1256880649598315e-06,1.3221912384033203,0.8283746838569641,2.002887725830078,1.0142266750335693,0.6111111044883728,11,4,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,5,1.3708122968673706,0.08449456095695496,2.5910868644714355,0.9905380606651306,0.9341050982475281,-0.11712747812271118,0.7777777314186096,3,3,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,6,2.366008996963501,0.0035381303168833256,2.7537543773651123,1.1357313394546509,1.3219141960144043,0.29201817512512207,0.7222222089767456,7,11,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,7,4.8015851974487305,0.003118333173915744,2.57690691947937,1.090957760810852,1.319599986076355,0.310589075088501,0.6666666269302368,8,14,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,8,2.6951279640197754,3.85035536965006e-06,2.342297077178955,1.0808407068252563,2.0072832107543945,1.0186221599578857,0.6111111044883728,12,12,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,9,1.3978807926177979,2.760090637821122e-06,2.3978381156921387,0.8637629151344299,2.0483620166778564,1.0597009658813477,0.6111111044883728,13,5,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,10,0.9505919218063354,0.05898910388350487,2.5871853828430176,0.9125190377235413,0.9889180064201355,-0.06231456995010376,0.7777777314186096,4,0,True
phase8_train_0006,13,0,delayed_linear,temporally_separated,11,1.108025312423706,0.0542086586356163,2.367497205734253,1.0096099376678467,1.0063414573669434,-0.0448911190032959,0.7777777314186096,5,1,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,12,2.1350257396698,0.011914024129509926,2.210141181945801,1.07314932346344,1.1890195608139038,0.15912353992462158,0.7222222089767456,6,10,False
